uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"76370e26-ab90-4233-9af4-d0dc8b62c3c4","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T11Z","HARV_013.C1.2016-06-01T06:34-04:00[US/Eastern]",5,27,72,63,"mixed deciduous/evergreen forest",16,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"f62266cf-085a-4b52-aa17-9e2468c08d07","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C2","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T11Z","HARV_013.C2.2016-06-01T06:59-04:00[US/Eastern]",5,27,72,63,"mixed deciduous/evergreen forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"34450544-deff-495d-9302-0b5fc3befa49","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C3","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T11Z","HARV_013.C3.2016-06-01T07:23-04:00[US/Eastern]",5,27,72,63,"mixed deciduous/evergreen forest",13,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"1472aa89-c846-49c9-a9fe-23d99323e617","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","B2","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T12Z","HARV_013.B2.2016-06-01T07:57-04:00[US/Eastern]",5,27,72,63,"mixed deciduous/evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"50d3b845-78cb-41fd-a0b4-5cb269c2d59c","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","B3","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T12Z","HARV_013.B3.2016-06-01T08:19-04:00[US/Eastern]",5,27,72,63,"deciduous forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"46d00fbf-5200-4b75-91eb-09c78550b397","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","A3","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T13Z","HARV_013.A3.2016-06-01T08:40-04:00[US/Eastern]",5,27,72,63,"deciduous forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"db57be4c-5f32-466b-877e-f3c029b90e51","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","A2","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T13Z","HARV_013.A2.2016-06-01T09:08-04:00[US/Eastern]",5,27,72,63,"deciduous forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"c2b74273-5b83-4f7a-ba40-6cfbd23d4f98","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","A1","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T13Z","HARV_013.A1.2016-06-01T09:25-04:00[US/Eastern]",5,27,72,63,"mixed deciduous/evergreen forest",22,3,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"330db657-9388-46c8-828f-6fb407dd5964","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","B1","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2016-06-01T14Z","HARV_013.B1.2016-06-01T09:47-04:00[US/Eastern]",5,27,72,63,"mixed deciduous/evergreen forest",23,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
"b9414bd5-514c-49a4-a906-0b7bc394d276","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","B1","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2016-06-02T10Z","HARV_006.B1.2016-06-02T06:11-04:00[US/Eastern]",20,35,81,70,"mixed deciduous/evergreen forest",15,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vH",,"JRITT"
